Item,Price (USD)
Gourmet Cheeseburger,18.5
Pan-Seared Salmon with Asparagus,28
Artisanal Garden Salad (add Chicken),14.00 (add 6.00)
Prime Ribeye Steak (10oz),38
BBQ Pulled Pork Sandwich,16.5
Classic Mac & Cheese,12
Caesar Salad with Grilled Shrimp,22
Lobster Roll,29
Truffle Fries,9
New York Cheesecake,11
Chocolate Lava Cake,10.5
Chicken & Waffles,19
Steamed Pork & Shrimp Dim Sum (4pcs),9.5
Crispy Spring Rolls (Veg),7
Peking Duck (Half),45
Kung Pao Chicken,21
Beef with Broccoli,22.5
Sweet & Sour Pork,19
Shrimp Fried Rice,18
Vegetable Lo Mein,16
Dan Dan Noodles,17
Ma Po Tofu,18
Hot & Sour Soup,8
General Tso's Chicken,20
Jollof Rice with Grilled Fish,23
Egusi Soup with Fufu,20
Suya (Beef Skewers - 5pcs),15
Efo Riro (Spinach Stew) with Pounded Yam,21
Yam Porridge (Asaro),17.5
Akara (Bean Cakes - 3pcs),8
Puff-Puff (Sweet Doughnuts - 4pcs),7.5
Ofada Rice & Sauce,22
Pepper Soup (Goat Meat),14
Plantain (Fried/Boiled side),6
Okro Soup with Eba,20.5
Asun (Spicy Grilled Goat Meat),16
